@RELATION dummy2

@ATTRIBUTE id string
@ATTRIBUTE created numeric
@ATTRIBUTE downvotes numeric
@ATTRIBUTE upvotes numeric
@ATTRIBUTE latitude numeric
@ATTRIBUTE longitude numeric
@ATTRIBUTE pokemonId numeric
@ATTRIBUTE trainerName string
@ATTRIBUTE userId string
@ATTRIBUTE deviceId string
@ATTRIBUTE class {+1,-1}

@DATA
ry-3luuYY,1470887815,0,1,48.8612950752,2.3369292396,17,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
ByZpxddtF,1470887833,0,1,48.8553828202,2.3491749986,54,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
Hk7OyqOtY,1470888106,0,1,50.0817215729,8.245171381,58,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
Skxs5cOFY,1470888159,0,1,48.8744741447,2.3582269153,21,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
H1gqqq_Ft,1470888049,0,1,48.8667493777,2.3317574494,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
HJxlscuYt,1470888241,0,1,48.8909813407,2.3898633351,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
Skxoc_tt,1470888207,0,1,48.8933949816,2.387338388,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
ryejqdYK,1470888085,0,1,48.8958872549,2.3848197651,23,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
H1GqA9dFY,1470888658,0,1,47.694656,7.404578,4,(Anonymous),12934602,jkml4aztgpudxvp0f7hq37tde09lzwz9,+1
HyeDvKdFt,1470887797,0,1,48.8525897512,2.3511391778,46,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
B1LPvY_Yt,1470888222,0,1,48.851871976,2.3438792833,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
HJ4OvtuKY,1470888033,0,1,48.8625221056,2.3307075714,133,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
Syg_PKOFt,1470887853,0,1,48.8582276069,2.344667846,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
B1cPDt_KY,1470887867,0,1,48.8541979985,2.3338865396,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
SymsiFOKF,1470888256,0,1,48.8897238367,2.2926172723,10,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
Sk7UHcdtt,1470888325,0,1,48.8416296271,2.2818965962,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
SymPnddFt,1470887924,0,1,48.7926465642,9.2359841672,13,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
SkScnFdKt,1470888141,0,1,45.474730633,9.176752945,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
ryHx5OYY,1470887908,0,1,49.0120031577,8.4256414824,21,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
Hk8WAqOKF,1470888464,0,1,48.9258952034,2.3575747091,46,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
BkW-09_YF,1470887993,0,1,48.8630690472,2.3347920076,21,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
B1sWAqOYt,1470888527,0,1,48.8606791678,2.3362638021,129,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
r1GGRq_YY,1470888023,0,1,48.8600407069,2.3406020799,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
HJ7A9OYY,1470888260,0,1,48.8596590368,2.3439078703,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
rJZG05_YF,1470888365,0,1,49.0046607043,1.9116181084,42,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
S1mAcOFY,1470887886,0,1,48.8603856906,2.3468663298,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
SJQXA9dKK,1470888351,0,1,48.8558039802,2.3478046939,79,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
