@RELATION apiData

@ATTRIBUTE _id string
@ATTRIBUTE source string
@ATTRIBUTE latitude numeric
@ATTRIBUTE longitude numeric
@ATTRIBUTE appearedOn string
@ATTRIBUTE __v numeric
@ATTRIBUTE class {122, 99, 97, 73, 143, 117, 18, 138, 33, 147, 22, 30, 114, 85, 49, 95, 121, 127, 123, 137, 61, 5, 9, 78, 103, 119, 140, 8, 142, 15, 59, 133, 58, 20, 13, 111, 19, 21, 41, 46, 72, 16, 74, 129, 98, 4, 10, 17, 60, 54, 63, 120, 50, 48, 69, 75, 29, 43, 118, 23, 1, 14, 92, 100, 7, 116, 11, 81, 102, 90, 32, 53, 27, 42, 47, 77, 56, 131, 149, 25, 79, 52, 128, 104, 84, 57, 35, 86, 39, 44, 34, 24, 96, 124, 109, 55, 66, 31, 6, 88, 26, 126, 37, 113, 130, 65, 83, 148, 106, 70, 94, 87, 28, 3, 110, 76, 135, 112, 82, 141, 40, 108, 12}

@DATA
57c92fac691d56d302ad09ae,POKERADAR,-157.857025101436,21.2942788675071,1472801868000,0,129
57c92fac691d56d302ad09af,POKERADAR,-157.832062,21.278681,1472801839000,0,4
57c92fac691d56d302ad09b0,POKERADAR,-157.833832,21.278044,1472801936000,0,72
57c92fac691d56d302ad09b1,POKERADAR,-157.830758,21.27903,1472801875000,0,74
57c92fac691d56d302ad09b2,POKERADAR,-157.829733,21.27977,1472801956000,0,16
57c92fac691d56d302ad09b3,POKERADAR,-157.90127034163,21.3673498863486,1472801887000,0,133
57c92fac691d56d302ad09b6,POKERADAR,-157.832061867007,21.4311965559389,1472801838000,0,10
57c92fac691d56d302ad09b5,POKERADAR,-157.823492467631,21.2711574035531,1472802038000,0,129
57c92fac691d56d302ad09b4,POKERADAR,-157.870345155401,21.3170854686187,1472802085000,0,19
57c92fac691d56d302ad09b7,POKERADAR,-157.936201385205,21.3658112519956,1472802000000,0,10
57c92fac691d56d302ad09b8,POKERADAR,-157.828988056573,21.282398689953,1472802032000,0,17
57c92fac691d56d302ad09b9,POKERADAR,-157.877238082086,21.3329280056904,1472802421000,0,10
57c92fac691d56d302ad09ba,POKERADAR,-157.876958638698,21.3172030006437,1472801852000,0,129
57c92fac691d56d302ad09bb,POKERADAR,-157.86103042379,21.3008223017335,1472802328000,0,133
57c92fac691d56d302ad09bc,POKERADAR,-157.786793500547,21.2776348521787,1472802051000,0,60
57c92fac691d56d302ad09bd,POKERADAR,-157.787166075404,21.2775982170772,1472802098000,0,21
57c92fac691d56d302ad09be,POKERADAR,-157.822747304174,21.2736976685784,1472802292000,0,21
57c92fac691d56d302ad09bf,POKERADAR,-157.862427631003,21.2979305519641,1472802236000,0,54
57c92fac691d56d302ad09c0,POKERADAR,-157.838395793873,21.2843998615578,1472802162000,0,19
